ID,Name,Role,Full Name,DOB,Batting Style (s),Bowling Style (s),Batting Style (l),Bowling Style (l),Playing Role
49751,HH Khadiwale,P,Harshad Khadiwale,21-10-1988,rhb,rmf,right-hand bat,right-arm medium-fast,opening batter
7540,CK Langeveldt,P,Charl Langeveldt,17-12-1974,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
47023,AD Mathews,P,Angelo Mathews,2-6-1987,rhb,rm,right-hand bat,right-arm medium,allrounder
51182,CR Pathak,P,Chirag Pathak,2-2-1987,lhb,,left-hand bat,,
6377,OA Shah,P,Owais Shah,22-10-1978,rhb,ob,right-hand bat,right-arm offbreak,batter
12015,G Vignesh,P,Ganapathi Vignesh,11-9-1981,rhb,rmf,right-hand bat,right-arm medium-fast,allrounder
48998,AN Ahmed,P,Abu Nechim,5-11-1988,rhb,rmf,right-hand bat,right-arm medium-fast,bowler
45222,JP Duminy,P,Jean-Paul Duminy,14-4-1984,lhb,ob,left-hand bat,right-arm offbreak,batting allrounder
12548,C Madan,P,Chandan Madan,15-10-1982,rhb,,right-hand bat,,wicketkeeper
11830,I Malhotra,P,Ishan Malhotra,23-5-1984,rhb,rmf,right-hand bat,right-arm medium-fast,bowler
45890,R McLaren,P,Ryan McLaren,9-2-1983,lhb,rmf,left-hand bat,right-arm medium-fast,allrounder
15732,AG Murtaza,P,Ali Murtaza,1-1-1990,lhb,sla,left-hand bat,slow left-arm orthodox,bowler
7221,GR Napier,P,Graham Napier,6-1-1980,rhb,rm,right-hand bat,right-arm medium,bowling allrounder
49040,KA Pollard,P,Kieron Pollard,12-5-1987,rhb,rm,right-hand bat,right-arm medium,batting allrounder
8999,AT Rayudu,P,Ambati Rayudu,23-9-1985,rhb,ob,right-hand bat,right-arm offbreak,middle-order batter
7519,R Sathish,P,Rajagopal Sathish,14-1-1981,rhb,rm,right-hand bat,right-arm medium,allrounder
8902,KS Shahabuddin,P,Syed Shahabuddin,1-7-1979,rhb,rmf,right-hand bat,right-arm medium-fast,
59266,R Shukla,P,Rahul Shukla,28-8-1990,rhb,rm,right-hand bat,right-arm medium,bowler
55296,AP Tare,WK,Aditya Tare,7-11-1987,rhb,,right-hand bat,,wicketkeeper
10401,J Botha,P,Johan Botha,2-5-1982,rhb,ob,right-hand bat,right-arm offbreak,allrounder
9982,FY Fazal,P,Faiz Fazal,7-9-1985,lhb,rm,left-hand bat,right-arm medium,opening batter
35812,AJ Finch,P,Aaron Finch,17-11-1986,rhb,sla,right-hand bat,slow left-arm orthodox,top-order batter
8021,AA Jhunjhunwala,P,Abhishek Jhunjhunwala,1-12-1982,rhb,ob,right-hand bat,right-arm offbreak,batter
59324,Kamran Khan,P,Kamran Khan,10-3-1991,lhb,lmf,left-hand bat,left-arm medium-fast,bowler
10787,MJ Lumb,P,Michael Lumb,12-2-1980,lhb,rm,left-hand bat,right-arm medium,top-order batter
44876,S Narwal,P,Sumit Narwal,16-4-1982,lhb,rm,left-hand bat,right-arm medium,allrounder
12701,NV Ojha,WK,Naman Ojha,20-7-1983,rhb,,right-hand bat,,wicketkeeper batter
54137,AG Paunikar,WK,Amit Paunikar,18-4-1988,rhb,,right-hand bat,,wicketkeeper batter
8998,SA Quadri,P,Syed Quadri,2-12-1981,rhb,ob,right-hand bat,right-arm offbreak,
49042,AS Raut,P,Abhishek Raut,3-3-1987,rhb,lbg,right-hand bat,legbreak googly,allrounder
48269,A Singh,P,Amit Singh,21-6-1981,rhb,rmf,right-hand bat,right-arm medium-fast,bowler
17780,SW Tait,P,Shaun Tait,22-2-1983,rhb,rf,right-hand bat,right-arm fast,bowler
10485,A Uniyal,P,Amit Uniyal,21-11-1981,lhb,lm,left-hand bat,left-arm medium,
12400,AC Voges,P,Adam Voges,4-10-1979,rhb,sla,right-hand bat,slow left-arm orthodox,top-order batter
51187,SB Wagh,P,Shrikant Wagh,9-10-1988,lhb,lmf,left-hand bat,left-arm medium-fast,allrounder
2066,DR Martyn,P,Damien Martyn,21-10-1971,rhb,rm,right-hand bat,right-arm medium,top-order batter
47207,D du Preez,P,Dillon du Preez,8-11-1981,rhb,rfm,right-hand bat,right-arm fast-medium,
54282,B Kumar,P,Bhuvneshwar Kumar,5-2-1990,rhb,rm,right-hand bat,right-arm medium,bowler
53314,A Mithun,P,Abhimanyu Mithun,25-10-1989,rhb,rm,right-hand bat,right-arm medium,bowler
47055,EJG Morgan,P,Eoin Morgan,10-9-1986,lhb,rm,left-hand bat,right-arm medium,middle-order batter
8107,KP Pietersen,P,Kevin Pietersen,27-6-1980,rhb,ob,right-hand bat,right-arm offbreak,top-order batter
50281,SPD Smith,P,Steven Smith,2-6-1989,rhb,lbg,right-hand bat,legbreak googly,top-order batter
7575,S Sriram,P,Sridharan Sriram,21-2-1976,lhb,sla,left-hand bat,slow left-arm orthodox,middle-order batter
47391,RE van der Merwe,P,Roelof van der Merwe,31-12-1984,rhb,sla,right-hand bat,slow left-arm orthodox,bowling allrounder
4271,A Flintoff,P,Andrew Flintoff,6-12-1977,rhb,rfm,right-hand bat,right-arm fast-medium,allrounder
8768,Abhinav Kumar,P,Abhinav Kumar,7-11-1984,rhb,,right-hand bat,,
45774,FH Edwards,P,Fidel Edwards,6-2-1982,rhb,rf,right-hand bat,right-arm fast,bowler
58265,Jaskaran Singh,P,Jaskaran Singh,4-9-1989,rhb,rm,right-hand bat,right-arm medium,bowler
53565,Shoaib Ahmed,P,Shoaib Ahmed,19-11-1987,rhb,rfm,right-hand bat,right-arm fast-medium,
50988,BT Cockley,P,Burt Cockley,3-4-1986,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
57148,R Ninan,P,Ryan Ninan,19-11-1985,rhb,ob,right-hand bat,right-arm offbreak,allrounder
15705,Ravikant Shukla,P,Ravikant Shukla,7-7-1987,lhb,rm,left-hand bat,right-arm medium,top-order batter
46591,JE Taylor,P,Jerome Taylor,22-6-1984,rhb,rf,right-hand bat,right-arm fast,bowler
58299,Anureet Singh,P,Anureet Singh,2-3-1988,rhb,rm,right-hand bat,right-arm medium,bowler
48744,AN Ghosh,P,Arindam Ghosh,19-10-1986,rhb,rm,right-hand bat,right-arm medium,batter
24672,Mashrafe Mortaza,P,Mashrafe Mortaza,5-10-1983,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
58340,SS Shaikh,P,Shoaib Shaikh,18-1-1987,rhb,rm,right-hand bat,right-arm medium,
6354,MN van Wyk,WK,Morne van Wyk,20-3-1979,rhb,sla,right-hand bat,slow left-arm orthodox,wicketkeeper batter
24667,Mohammad Ashraful,P,Mohammad Ashraful,7-7-1984,rhb,"ob,lb",right-hand bat,"right-arm offbreak,legbreak",middle-order batter
48253,C Nanda,P,Chetanya Nanda,29-3-1979,rhb,lb,right-hand bat,legbreak,
51158,RA Shaikh,P,Rahil Shaikh,12-6-1985,lhb,lm,left-hand bat,left-arm medium,
8114,LA Carseldine,P,Lee Carseldine,17-11-1975,lhb,lm,left-hand bat,left-arm medium,allrounder
59638,PS Chavan,P,Pushkaraj Chavan,18-5-1989,lhb,sla,left-hand bat,slow left-arm orthodox,
8807,RV Gomez,P,Raiphi Gomez,16-10-1985,rhb,rm,right-hand bat,right-arm medium,allrounder
8399,SM Harwood,P,Shane Harwood,1-3-1974,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
7549,T Henderson,P,Tyron Henderson,1-8-1974,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
51487,AA Malek,P,Abdulahad Malek,9-8-1986,lhb,,left-hand bat,,
52809,Mohammed Arif,P,Mohammed Arif,30-9-1990,lhb,rm,left-hand bat,right-arm medium,
48571,RJ Quiney,P,Rob Quiney,20-8-1982,lhb,rm,left-hand bat,right-arm medium,batter
59636,AS Sharma,WK,Atul Sharma,1-5-1989,rhb,rf,right-hand bat,right-arm fast,
54284,G Singh,P,Gajendra Singh,10-9-1988,rhb,sla,right-hand bat,slow left-arm orthodox,
7793,PC Valthaty,P,Paul Valthaty,7-12-1983,rhb,rm,right-hand bat,right-arm medium,batter
12619,P Dogra,P,Paras Dogra,19-11-1984,rhb,lb,right-hand bat,legbreak,batter
48252,AM Makda,P,Ashraf Makda,28-8-1978,lhb,lmf,left-hand bat,left-arm medium-fast,
51326,SG Mangela,P,Shrideep Mangela,1-4-1988,lhb,lbg,left-hand bat,legbreak googly,
51455,S Aravind,P,Sreenath Aravind,8-4-1984,lhb,lmf,left-hand bat,left-arm medium-fast,bowler
47322,SS Bandekar,P,Saurabh Bandekar,16-11-1987,rhb,rmf,right-hand bat,right-arm medium-fast,allrounder
17731,RR Bhatkal,P,Raju Bhatkal,1-9-1985,rhb,rm,right-hand bat,right-arm medium,allrounder
49318,R Bishnoi,P,Rajesh Bishnoi,8-10-1987,rhb,rmf,right-hand bat,right-arm medium-fast,middle-order batter
52521,CM Gautam,P,Chidhambaram Gautam,8-3-1986,rhb,,right-hand bat,,wicketkeeper
51189,IR Jaggi,P,Ishank Jaggi,27-1-1989,rhb,lbg,right-hand bat,legbreak googly,batter
10554,UB Patel,P,Udit Patel,31-8-1984,rhb,ob,right-hand bat,right-arm offbreak,
51218,JA Patil,P,Jitendra Patil,9-9-1989,rhb,lm,right-hand bat,left-arm medium,
44946,JD Ryder,P,Jesse Ryder,6-8-1984,lhb,rm,left-hand bat,right-arm medium,allrounder
8843,RK Sabharwal,P,RK Sabharwal,8-1-1978,rhb,,right-hand bat,,
15731,KV Sharma,P,Karn Sharma,23-10-1987,lhb,lbg,left-hand bat,legbreak googly,bowler
59254,R Suthesh,P, Rangaraj Suthesh,8-4-1987,lhb,lm,left-hand bat,left-arm medium,bowler
8762,T Yohannan,P,Tinu Yohannan,18-2-1979,rhb,rmf,right-hand bat,right-arm medium-fast,
46933,F du Plessis,P,Faf du Plessis,13-7-1984,rhb,lb,right-hand bat,legbreak,middle-order batter
44865,BW Hilfenhaus,P,Ben Hilfenhaus,15-3-1983,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
46206,KMDN Kulasekara,P,Nuwan Kulasekara,22-7-1982,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
11385,S Randiv,P,Suraj Randiv,30-1-1985,rhb,ob,right-hand bat,right-arm offbreak,bowler
49108,TG Southee,P,Tim Southee,11-12-1988,rhb,rmf,right-hand bat,right-arm medium-fast,bowler
10198,K Vasudevadas,P,Kuthethurshri Vasudevadas,26-1-1985,lhb,lb,left-hand bat,legbreak,batter
48381,Anand Rajan,P,Anand Rajan,17-4-1987,rhb,rm,right-hand bat,right-arm medium,bowler
60609,Ankit Sharma,P,Ankit Sharma,20-4-1991,lhb,sla,left-hand bat,slow left-arm orthodox,bowler
61985,AA Bhandari,P,Akash Bhandari,10-6-1993,rhb,lb,right-hand bat,legbreak,bowler
44853,DT Christian,P,Dan Christian,4-5-1983,rhb,rfm,right-hand bat,right-arm fast-medium,allrounder
56415,KH Devdhar,P,Kedar Devdhar,14-12-1989,rhb,,right-hand bat,,wicketkeeper
54340,CA Lynn,P,Chris Lynn,10-4-1990,rhb,sla,right-hand bat,slow left-arm orthodox,batter
12036,TR Birt,P,Travis Birt,9-12-1981,lhb,rm,left-hand bat,right-arm medium,middle-order batter
50064,R Bist,P,Robin Bist,2-11-1987,rhb,ob,right-hand bat,right-arm offbreak,middle-order batter
61988,UBT Chand,P,Unmukt Chand,26-3-1993,rhb,ob,right-hand bat,right-arm offbreak,wicketkeeper batter
47324,A Chandila,P,Ajit  Chandila,5-12-1983,rhb,ob,right-hand bat,right-arm offbreak,allrounder
48088,R Frylinck,P,Robbie Frylinck,27-9-1984,rhb,rm,right-hand bat,right-arm medium,allrounder
48155,CA Ingram,P,Colin Ingram,3-7-1985,lhb,lb,left-hand bat,legbreak,top-order batter
15308,S Nadeem,P,Shahbaz Nadeem,12-8-1989,rhb,sla,right-hand bat,slow left-arm orthodox,bowler
48403,PT Naik,P,Prashant Naik,2-9-1986,rhb,lbg,right-hand bat,legbreak googly,middle-order batter
61722,Vikas Mishra,P,Vikas Mishra,27-12-1992,rhb,sla,right-hand bat,slow left-arm orthodox,bowler
48402,Vivek Yadav,P,Vivek Yadav,9-12-1984,rhb,lb,right-hand bat,legbreak,bowler
49024,MS Wade,P,Matthew Wade,26-12-1987,lhb,rm,left-hand bat,right-arm medium,wicketkeeper batter
51461,Amit Yadav,P,Amit Yadav,10-10-1989,rhb,ob,right-hand bat,right-arm offbreak,allrounder
61489,BA Bhatt,P,Bhargav Bhatt,13-5-1990,lhb,sla,left-hand bat,slow left-arm orthodox,bowler
59601,Mandeep Singh,P,Mandeep Singh,18-12-1991,rhb,rm,right-hand bat,right-arm medium,allrounder
53891,DA Miller,P,David Miller,10-6-1989,lhb,ob,left-hand bat,right-arm offbreak,middle-order batter
15813,NJ Rimmington,P,Nathan Rimmington,11-11-1982,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
47186,Sunny Singh,P,Sunny Singh,18-12-1986,rhb,rmf,right-hand bat,right-arm medium-fast,batter
48440,SCJ Broad,P,Stuart Broad,24-6-1986,lhb,rfm,left-hand bat,right-arm fast-medium,bowler
9006,DA Chougule,P,Deepak Chougule,1-4-1984,rhb,ob,right-hand bat,right-arm offbreak,batter
8989,Y Gnaneswara Rao,P,Gnaneswara Rao,25-8-1984,rhb,rm,right-hand bat,right-arm medium,allrounder
49002,JW Hastings,P,John Hastings,4-11-1985,rhb,rfm,right-hand bat,right-arm fast-medium,allrounder
8241,M Klinger,P,Michael Klinger,4-7-1980,rhb,,right-hand bat,,batter
48378,SH Marathe,P,Sushant Marathe,16-10-1985,lhb,lbg,left-hand bat,legbreak googly,wicketkeeper
35466,SNJ O'Keefe,P,Steve O'Keefe,9-12-1984,rhb,sla,right-hand bat,slow left-arm orthodox,allrounder
51196,P Parameswaran,P,Prasanth Parameswaran,30-5-1985,rhb,lm,right-hand bat,left-arm medium,
21588,P Prasanth,P,Padmanabhan Prasanth,3-9-1985,lhb,sla,left-hand bat,slow left-arm orthodox,allrounder
6426,BJ Haddin,WK,Brad Haddin,23-10-1977,rhb,,right-hand bat,,wicketkeeper batter
63646,Mohammed Shami,P,Mohammed Shami,3-9-1990,rhb,rf,right-hand bat,right-arm fast,bowler
50781,JL Pattinson,P,James Pattinson,3-5-1990,lhb,rfm,left-hand bat,right-arm fast-medium,bowler
48277,Shakib Al Hasan,P,Shakib Al Hasan,24-3-1987,lhb,sla,left-hand bat,slow left-arm orthodox,allrounder
45358,RN ten Doeschate,P,Ryan ten Doeschate,30-6-1980,rhb,rmf,right-hand bat,right-arm medium-fast,allrounder
59261,JD Unadkat,P,Jaydev Unadkat,18-10-1991,rhb,lm,right-hand bat,left-arm medium,bowler
47065,AC Blizzard,P,Aiden Blizzard,27-6-1984,lhb,lm,left-hand bat,left-arm medium,batter
61325,YS Chahal,P,Yuzvendra Chahal,23-7-1990,rhb,lbg,right-hand bat,legbreak googly,bowler
9639,JEC Franklin,P,James Franklin,7-11-1980,lhb,lm,left-hand bat,left-arm medium,allrounder
35344,DJ Jacobs,P,Davy Jacobs,4-11-1982,rhb,rm,right-hand bat,right-arm medium,wicketkeeper batter
63517,S Kanwar,P,Sarul Kanwar,8-11-1987,rhb,rmf,right-hand bat,right-arm medium-fast,batter
61383,P Suyal,P,Pawan Suyal,15-10-1989,rhb,lm,right-hand bat,left-arm medium,bowler
61990,SA Yadav,P,Suryakumar Yadav,14-9-1990,rhb,"rm,ob",right-hand bat,"right-arm medium,right-arm offbreak",batter
7633,BSK Yadav,P,Santosh Yadav,17-10-1979,lhb,ob,left-hand bat,right-arm offbreak,bowler
47693,CJ McKay,P,Clint McKay,20-2-1983,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
56438,ER Dwivedi,P,Eklavya Dwivedi,22-7-1988,rhb,,right-hand bat,,wicketkeeper
50483,JP Faulkner,P,James Faulkner,29-4-1990,rhb,lfm,right-hand bat,left-arm fast-medium,bowling allrounder
26889,CJ Ferguson,P,Callum Ferguson,21-11-1984,rhb,rm,right-hand bat,right-arm medium,middle-order batter
50861,GB Gaikwad,P,Ganesh Gaikwad,4-12-1987,rhb,ob,right-hand bat,right-arm offbreak,bowler
56442,Harpreet Singh,P,Harpreet Singh,11-8-1991,lhb,rm,left-hand bat,right-arm medium,batter
56451,Imtiaz Ahmed,P,Imtiaz Ahmed,10-11-1985,rhb,rm,right-hand bat,right-arm medium,bowler
9822,DS Jadhav,P,Dheeraj Jadhav,16-9-1979,lhb,ob,left-hand bat,right-arm offbreak,batter
10386,NL McCullum,P,Nathan McCullum,1-9-1980,rhb,ob,right-hand bat,right-arm offbreak,bowler
51220,SS Mundhe,P,Shrikant Mundhe,27-10-1988,rhb,rm,right-hand bat,right-arm medium,allrounder
34747,TD Paine,WK,Tim Paine,8-12-1984,rhb,rm,right-hand bat,right-arm medium,wicketkeeper batter
47340,S Rana,P,Sachin Rana,18-9-1984,rhb,rmf,right-hand bat,right-arm medium-fast,bowler
10562,AC Thomas,P,Alfonso Thomas,9-2-1977,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
10553,STR Binny,P,Stuart Binny,3-6-1984,rhb,rm,right-hand bat,right-arm medium,allrounder
62022,DL Chahar,P,Deepak Chahar,7-8-1992,rhb,rm,right-hand bat,right-arm medium,bowler
49314,AP Dole,P,Aditya Dole,9-10-1987,rhb,rmf,right-hand bat,right-arm medium-fast,bowler
36039,ND Doshi,P,Nayan Doshi,6-10-1978,rhb,sla,right-hand bat,slow left-arm orthodox,bowler
53571,SM Fallah,P,Samad Fallah,2-5-1985,lhb,lm,left-hand bat,left-arm medium,bowler
58116,AL Menaria,P,Ashok Menaria,29-10-1990,lhb,sla,left-hand bat,slow left-arm orthodox,allrounder
8726,DH Yagnik,P,Dishant Yagnik,22-6-1983,lhb,,left-hand bat,,wicketkeeper
59599,MA Agarwal,P,Mayank Agarwal,16-2-1991,rhb,ob,right-hand bat,right-arm offbreak,batter
63433,BN Bharath,P,BN Bharath,1-11-1985,rhb,rm,right-hand bat,right-arm medium,allrounder
54131,ANPR Fernando,P,Nuwan Pradeep,19-10-1986,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
60529,AA Kazi,P,Abrar Kazi,29-9-1989,lhb,sla,left-hand bat,slow left-arm orthodox,bowler
61334,AUK Pathan,P,Asad Pathan,17-6-1984,rhb,rm,right-hand bat,right-arm medium,bowler
53649,RR Rossouw,P,Rilee Rossouw,9-10-1989,lhb,ob,left-hand bat,right-arm offbreak,top-order batter
44814,J Syed Mohammad,P,Jamaluddin Syed Mohammad,3-6-1983,lhb,sla,left-hand bat,slow left-arm orthodox,bowler
4130,JJ van der Wath,P,Johan van der Wath,10-1-1978,rhb,rmf,right-hand bat,right-arm medium-fast,allrounder
51346,JD Vandiar,P,Jonathan Vandiar,25-4-1990,lhb,lb,left-hand bat,legbreak,batter
56407,T Atchuta Rao,P,Tekkami Atchuta Rao,21-8-1986,lhb,lm,left-hand bat,left-arm medium,bowler
51054,DM Bravo,P,Darren Bravo,6-2-1989,lhb,rm,left-hand bat,right-arm medium,top-order batter
9707,DJ Harris,P,Daniel Harris,31-12-1979,rhb,rm,right-hand bat,right-arm medium,
48189,T Mishra,P,Tanmay Mishra,22-12-1986,rhb,rfm,right-hand bat,right-arm fast-medium,middle-order batter
66142,V Pratap Singh,P,Veer Pratap Singh,3-5-1992,rhb,rm,right-hand bat,right-arm medium,
58269,PA Reddy,P,Akshath Reddy,11-2-1991,rhb,lb,right-hand bat,legbreak,opening batter
61318,BB Samantray,P,Biplab Samantray,14-12-1988,rhb,rm,right-hand bat,right-arm medium,allrounder
66001,C Sneha Kishore,P,Sneha Kishore,31-12-1993,rhb,sla,right-hand bat,slow left-arm orthodox,
10145,TP Sudhindra,P,TP Sudhindra,24-4-1984,lhb,rf,left-hand bat,right-arm fast,
49313,P Bisht,P,Punit Bisht,15-6-1986,rhb,,right-hand bat,,wicketkeeper batter
6323,GH Bodi,P,Gulam Bodi,4-1-1979,lhb,lws,left-hand bat,left-arm wrist-spin,opening batter
57609,DAJ Bracewell,P,Doug Bracewell,28-9-1990,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
50618,Sunny Gupta,P,Sunny Gupta,27-9-1988,rhb,ob,right-hand bat,right-arm offbreak,
59259,MC Juneja,P,Manprit Juneja,12-9-1990,rhb,ob,right-hand bat,right-arm offbreak,top-order batter
54222,GJ Maxwell,P,Glenn Maxwell,14-10-1988,rhb,ob,right-hand bat,right-arm offbreak,batting allrounder
66253,P Negi,P,Pawan Negi,6-1-1993,lhb,sla,left-hand bat,slow left-arm orthodox,bowler
67611,ZR Patel,P,Zafir Patel,14-9-1992,rhb,rmf,right-hand bat,right-arm medium-fast,
56376,KC Raval,P,Kuldeep Raval,30-11-1985,lhb,sla,left-hand bat,slow left-arm orthodox,
51012,AD Russell,P,Andre Russell,29-4-1988,rhb,rf,right-hand bat,right-arm fast,allrounder
52222,KJ Abbott,P,Kyle Abbott,18-6-1987,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
54010,P Awana,P,Parvinder Awana,19-7-1986,rhb,rm,right-hand bat,right-arm medium,bowler
4173,Azhar Mahmood,P,Azhar Mahmood,28-2-1975,rhb,rfm,right-hand bat,right-arm fast-medium,bowling allrounder
49028,BCJ Cutting,P,Ben Cutting,30-1-1987,rhb,rfm,right-hand bat,right-arm fast-medium,allrounder
66725,Gurkeerat Singh,P,Gurkeerat Singh Mann,29-6-1990,rhb,ob,right-hand bat,right-arm offbreak,middle-order batter
59394,M de Lange,P,Marchant de Lange,13-10-1990,rhb,rf,right-hand bat,right-arm fast,bowler
66087,CS Jani,P,Chirag Jani,9-11-1989,rhb,rm,right-hand bat,right-arm medium,allrounder
49039,SP Narine,P,Sunil Narine,26-5-1988,lhb,ob,left-hand bat,right-arm offbreak,bowling allrounder
60806,SV Samson,P,Sanju Samson,11-11-1994,rhb,,right-hand bat,,wicketkeeper batter
54391,I Saxena,P,Iresh Saxena,14-3-1984,rhb,sla,right-hand bat,slow left-arm orthodox,
63677,Amitoze Singh,P,Amitoze Singh,14-2-1989,rhb,rm,right-hand bat,right-arm medium,allrounder
67609,Kuldeep Yadav,P,Kuldeep Yadav,14-12-1994,lhb,lws,left-hand bat,left-arm wrist-spin,bowler
48359,RE Levi,P,Richard Levi,14-1-1988,rhb,rm,right-hand bat,right-arm medium,opening batter
63520,SS Nayak,P,Sujit Nayak,23-6-1989,lhb,sla,left-hand bat,slow left-arm orthodox,
9492,RJ Peterson,P,Robin Peterson,4-8-1979,lhb,sla,left-hand bat,slow left-arm orthodox,bowler
64936,AV Wankhade,P,Apoorv Wankhade,14-3-1992,rhb,rm,right-hand bat,right-arm medium,middle-order batter
10130,MG Johnson,P,Mitchell Johnson,2-11-1981,lhb,lf,left-hand bat,left-arm fast,bowler
8876,MJ Clarke,P,Michael Clarke,2-4-1981,rhb,sla,right-hand bat,slow left-arm orthodox,middle-order batter
48248,AP Majumdar,P,Anustup Majumdar,30-4-1984,rhb,lbg,right-hand bat,legbreak googly,
10238,MN Samuels,P,Marlon Samuels,5-2-1981,rhb,ob,right-hand bat,right-arm offbreak,top-order batter
48391,Tamim Iqbal,P,Tamim Iqbal,20-3-1989,lhb,,left-hand bat,,opening batter
61411,K Upadhyay,P,Krishnakant  Upadhyay,18-6-1986,rhb,rm,right-hand bat,right-arm medium,
44660,LJ Wright,P,Luke Wright,7-3-1985,rhb,rm,right-hand bat,right-arm medium,top-order batter
52371,LD Chandimal,P,Dinesh Chandimal,18-11-1989,rhb,ob,right-hand bat,right-arm offbreak,wicketkeeper batter
58185,KK Cooper,P,Kevon Cooper,16-2-1989,rhb,rm,right-hand bat,right-arm medium,allrounder
3328,GB Hogg,P,Brad Hogg,6-2-1971,lhb,lws,left-hand bat,left-arm wrist-spin,allrounder
59600,KK Nair,P,Karun Nair,6-12-1991,rhb,ob,right-hand bat,right-arm offbreak,top-order batter
59260,HV Patel,P,Harshal Patel,23-11-1990,rhb,rm,right-hand bat,right-arm medium,bowler
67612,S Thiyagarajan,P,S Thiyagarajan,26-10-1984,rhb,rm,right-hand bat,right-arm medium,
67457,VH Zol,P,Vijay Zol,23-11-1994,lhb,ob,left-hand bat,right-arm offbreak,
63523,B Aparajith,P,Baba Aparajith,8-7-1994,rhb,ob,right-hand bat,right-arm offbreak,batting allrounder
68065,A Dananjaya,P,Akila Dananjaya,4-10-1993,lhb,"ob,lb",left-hand bat,"right-arm offbreak,legbreak",bowling allrounder
59339,JO Holder,P,Jason Holder,5-11-1991,rhb,rmf,right-hand bat,right-arm medium-fast,bowling allrounder
53439,B Laughlin,P,Ben Laughlin,3-10-1982,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
60691,RG More,P,Ronit More,2-2-1992,rhb,rm,right-hand bat,right-arm medium,bowler
61832,CH Morris,P,Chris Morris,30-4-1987,rhb,rfm,right-hand bat,right-arm fast-medium,bowling allrounder
69114,AS Rajpoot,P,Ankit Rajpoot,4-12-1993,rhb,rm,right-hand bat,right-arm medium,bowler
70614,Ravi Karthikeyan,P,Ravi Karthikeyan,26-1-1993,lhb,sla,left-hand bat,slow left-arm orthodox,bowler
63509,V Shankar,P,Vijay Shankar,26-1-1991,rhb,rm,right-hand bat,right-arm medium,allrounder
66722,MM Sharma,P,Mohit Sharma,18-9-1988,rhb,rm,right-hand bat,right-arm medium,bowler
70615,RH Dias,P,Royston Dias,30-1-1993,lhb,lm,left-hand bat,left-arm medium,
24777,BMAJ Mendis,P,Jeevan Mendis,15-1-1983,lhb,lb,left-hand bat,legbreak,allrounder
47079,BJ Rohrer,P,Ben Rohrer,26-3-1981,lhb,,left-hand bat,,middle-order batter
66089,AS Singhvi,P,Aristh Singhvi,31-5-1992,lhb,sla,left-hand bat,slow left-arm orthodox,
66085,A Choudhary,P,Aniket Choudhary,28-1-1990,rhb,lm,right-hand bat,left-arm medium,bowler
58276,MG Neser,P,Michael Neser,29-3-1990,rhb,rmf,right-hand bat,right-arm medium-fast,bowling allrounder
61797,Sandeep Sharma,P,Sandeep Sharma,18-5-1993,rhb,rm,right-hand bat,right-arm medium,bowler
66358,M Vohra,P,Manan Vohra,18-7-1993,rhb,rm,right-hand bat,right-arm medium,opening batter
50837,SMSM Senanayake,P,Sachithra Senanayake,9-2-1985,rhb,ob,right-hand bat,right-arm offbreak,bowler
70640,JJ Bumrah,P,Jasprit Bumrah,6-12-1993,rhb,rf,right-hand bat,right-arm fast,bowler
49958,NM Coulter-Nile,P,Nathan Coulter-Nile,11-10-1987,rhb,rf,right-hand bat,right-arm fast,bowling allrounder
50734,PJ Hughes,P,Phillip Hughes,30-11-1988,lhb,,left-hand bat,,opening batter
49346,Jalaj S Saxena,P,Jalaj Saxena,15-12-1986,rhb,"ob,lbg",right-hand bat,"right-arm offbreak,legbreak googly",allrounder
70920,Javed Khan,P,Javed Khan,10-7-1993,rhb,rfm,right-hand bat,right-arm fast-medium,
67455,AR Patel,P,Axar Patel,20-1-1994,lhb,sla,left-hand bat,slow left-arm orthodox,allrounder
50068,UA Birla,P,Udit Birla,17-11-1989,rhb,rm,right-hand bat,right-arm medium,
62033,IC Pandey,P,Ishwar Pandey,15-8-1989,rhb,rm,right-hand bat,right-arm medium,bowler
58365,Parvez Rasool,P,Parvez Rasool,13-2-1989,rhb,ob,right-hand bat,right-arm offbreak,bowling allrounder
50709,KW Richardson,P,Kane Richardson,12-2-1991,rhb,rfm,right-hand bat,right-arm fast-medium,bowler
45772,S Badree,P,Samuel Badree,9-3-1981,rhb,lb,right-hand bat,legbreak,bowler
60588,Harmeet Singh,P,Harmeet Singh,7-9-1992,lhb,sla,left-hand bat,slow left-arm orthodox,bowling allrounder
52373,MDKJ Perera,P,Kusal Perera,17-8-1990,lhb,,left-hand bat,,wicketkeeper batter
